mass		Bkg		Bkg_err		Bkg_N (Events in C)	Bkg_Alpha (B/A)
100		4.0		4.4		1     	      	 	4.0
200		4.0		4.4		1			4.0
400		1.0		1.1		1			1.0
600		0.58		0.62		1			0.58
800		0.58		0.62		1			0.58
1000		0.50		0.53		1			0.50
1400		0.36		0.39		1			0.36
1800		0.36		0.39		1			0.36
2200		0.36		0.39		1			0.36
2600		0.36		0.39		1			0.36
